CRUTEM4 716200 : KINGSTON temperature,,,,,,,,,,,,,,,,,
Lat:    44.20 (N)  Lon:   -76.60 (W)  Elevation (m):    93.00,,,,,,,,,,,,,,,,,
Start and End Years, and First Year Used (earlier years not considered reliable),,,,,,,,,,,,,,,,
  1872  2016  1872,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Please cite:,,,,,,,,,,,,,,,,,
Osborn & Jones (2014) Earth System Science Data (doi:10.5194/essd-6-61-2014),,,,,,,,,,,,,,,,,
Jones et al. (2012) J. Geophys. Res. (doi:10.1029/2011JD017139),,,,,,,,,,,,,,,,,
Missing code: -99.99,,,,,,,,,,,,,,,,,
Each seasonal mean requires all 3 months to have data,,,,,,,,,,,,,,,,,
Each annual mean requires all 12 months to have data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Year,    Jan,    Feb,    Mar,    Apr,    May,    Jun,    Jul,    Aug,    Sep,    Oct,    Nov,    Dec,    DJF,    MAM,    JJA,    SON, Annual
1908,-99.99,-11.5,-3.2,3.1,12.2,17.1,20.3,18.2,17,10.4,2.9,-5.5,-99.99,4.03,18.53,10.1,-99.99
1909,-6.7,-6.4,-3.3,3.6,10.8,16.2,18,19.2,14.3,7.5,3.6,-5.7,-6.2,3.7,17.8,8.47,5.93
1910,-5.8,-8.9,1.1,7.5,11.3,15.6,20,18.7,14,9,0.6,-9.2,-6.8,6.63,18.1,7.87,6.16
1911,-8.5,-9.3,-4.2,3.5,13.5,16.2,19.8,20.6,14.2,8.8,0.6,-0.7,-9,4.27,18.87,7.87,6.21
1912,-13.4,-11.1,-6.2,3.1,11.6,14.2,19.1,17,15.3,9.8,3.2,-1.4,-8.4,2.83,16.77,9.43,5.1
1913,-2.6,-10.2,-1.9,5.9,10.6,15,19.7,19.1,13.9,10,4.5,-1.2,-4.73,4.87,17.93,9.47,6.9
1914,-9.2,-12.6,-3.2,3.4,12.2,17.2,21,20.3,14.1,10.1,1.5,-5.3,-7.67,4.13,19.5,8.57,5.79
1915,-6.4,-5.1,-2.6,7.3,9.3,16,19.1,17.9,16.6,10.4,4,-4.2,-5.6,4.67,17.67,10.33,6.86
1916,-4.3,-10.3,-6.7,6,10.5,15.1,22.2,19.9,15.6,9.7,1.9,-5.9,-6.27,3.27,19.07,9.07,6.14
1917,-9,-11.7,-2.5,4.3,8.4,14.5,19.7,20.1,14.4,7,-0.4,-10.8,-8.87,3.4,18.1,7,4.5
1918,-14,-10,-2.1,4.5,11.9,15,19.4,19.8,12.7,9.5,4.2,-3.5,-11.6,4.77,18.07,8.8,5.62
1919,-4.6,-4.2,-1.2,4,11.6,20.7,21.2,19.6,17.1,10.8,1.7,-7,-4.1,4.8,20.5,9.87,7.48
